,Calls_Alley,Time_Alleys,Calls_All_Out,Time_All_Out,Calls_One_Out,Time_One_Out
1434,67.0,72.7910447761,56.0,3.60714285714,101,12.0297029703
1511,64.0,34.515625,34.0,3.73529411765,26,70.5384615385
1512,25.0,33.56,20.0,5.2,29,18.0344827586
1513,28.0,53.1785714286,24.0,5.625,15,27.8666666667
1522,51.0,31.6274509804,31.0,3.16129032258,33,19.1818181818
1523,31.0,47.6451612903,28.0,3.07142857143,19,39.0
1524,45.0,38.5777777778,29.0,5.1724137931,27,17.4444444444
1531,23.0,49.6956521739,28.0,4.60714285714,18,47.1111111111
1532,36.0,34.5833333333,43.0,3.72093023256,45,9.26666666667
1533,30.0,48.4666666667,27.0,5.40740740741,20,49.3
1611,118.0,36.2796610169,69.0,2.27536231884,128,5.9140625
1612,51.0,35.8235294118,45.0,2.0,106,6.91509433962
1613,135.0,34.5259259259,84.0,2.4880952381,176,7.31818181818
1614,7.0,50.8571428571,12.0,2.91666666667,71,8.32394366197
1621,46.0,43.9347826087,67.0,2.46268656716,122,10.1885245902
1622,152.0,36.6184210526,92.0,3.09782608696,229,5.49781659389
1623,103.0,38.854368932,74.0,2.21621621622,167,9.07185628743
1624,108.0,56.6666666667,79.0,2.82278481013,123,11.5203252033
1631,96.0,51.7291666667,83.0,2.67469879518,129,14.5503875969
1632,113.0,42.5752212389,59.0,2.72881355932,116,10.4655172414
1633,126.0,70.3650793651,79.0,3.25316455696,168,9.9880952381
1634,71.0,68.0281690141,51.0,4.92156862745,111,7.23423423423
1654,,,,,5,1.4
1711,87.0,24.1724137931,60.0,2.53333333333,140,8.67857142857
1712,108.0,35.5648148148,43.0,1.95348837209,110,9.95454545455
1713,34.0,31.7352941176,9.0,2.44444444444,39,8.12820512821
1722,39.0,48.8974358974,75.0,3.02666666667,112,12.2946428571
1723,82.0,42.4146341463,55.0,3.43636363636,99,11.4545454545
1724,91.0,32.7582417582,28.0,2.28571428571,78,8.84615384615
1731,75.0,64.4533333333,40.0,2.1,82,5.9756097561
1732,58.0,44.8793103448,35.0,2.28571428571,100,7.73
1733,61.0,34.2131147541,35.0,2.65714285714,202,7.29702970297
1811,26.0,60.2307692308,55.0,2.49090909091,61,13.5573770492
1812,51.0,65.8039215686,28.0,4.14285714286,33,20.4848484848
1813,22.0,94.2727272727,41.0,3.26829268293,61,24.0163934426
1814,17.0,90.2352941176,19.0,4.15789473684,67,13.6268656716
1821,19.0,67.6315789474,26.0,4.73076923077,42,13.119047619
1822,2.0,0.5,29.0,2.51724137931,30,25.3333333333
1823,2.0,0.0,12.0,4.08333333333,40,2.4
1824,9.0,64.8888888889,28.0,4.07142857143,63,12.0476190476
1831,15.0,30.2,34.0,4.38235294118,45,6.6
1832,17.0,41.4705882353,28.0,3.75,50,11.74
1833,3.0,6.33333333333,10.0,3.8,47,10.9787234043
1834,1.0,57.0,27.0,4.85185185185,76,12.2763157895
1911,68.0,34.4264705882,55.0,2.14545454545,122,6.98360655738
1912,51.0,25.3333333333,39.0,2.48717948718,78,9.33333333333
1913,24.0,18.375,3.0,2.66666666667,36,0.861111111111
1914,19.0,27.5263157895,14.0,2.21428571429,37,16.9459459459
1915,16.0,55.6875,16.0,2.75,62,7.40322580645
1921,43.0,31.7441860465,37.0,2.18918918919,134,7.49253731343
1922,73.0,25.2602739726,48.0,1.97916666667,112,11.8482142857
1923,21.0,33.9047619048,18.0,2.33333333333,63,3.84126984127
1924,56.0,29.8571428571,16.0,4.0,125,4.384
1925,3.0,13.3333333333,20.0,2.2,83,9.26506024096
1931,25.0,43.4,60.0,2.11666666667,113,9.17699115044
1932,25.0,63.24,20.0,2.15,61,12.0819672131
1933,30.0,32.0333333333,16.0,2.375,79,6.59493670886
1934,12.0,38.75,26.0,1.65384615385,37,5.67567567568
1935,21.0,37.2380952381,24.0,2.875,63,7.77777777778
2011,80.0,15.1375,44.0,1.90909090909,114,3.83333333333
2012,43.0,12.1860465116,37.0,2.51351351351,70,4.74285714286
2013,36.0,26.4166666667,18.0,2.11111111111,60,5.55
2022,10.0,23.3,6.0,7.83333333333,20,7.55
2023,14.0,17.4285714286,21.0,2.52380952381,40,5.95
2024,28.0,14.5,12.0,2.0,45,10.4
2031,30.0,25.7,33.0,1.78787878788,86,4.17441860465
2032,17.0,20.0,15.0,1.8,34,3.38235294118
2033,34.0,28.2647058824,9.0,2.22222222222,23,2.65217391304
2211,132.0,63.6590909091,133.0,2.21804511278,284,14.9330985915
2212,141.0,65.4255319149,190.0,2.60526315789,265,16.079245283
2213,59.0,82.1355932203,142.0,2.76056338028,182,12.7527472527
2221,53.0,75.2264150943,115.0,2.85217391304,143,17.7062937063
2222,63.0,96.4761904762,44.0,2.97727272727,85,13.1882352941
2223,133.0,60.2631578947,76.0,2.81578947368,157,11.1337579618
2232,116.0,52.5517241379,98.0,4.0,150,12.12
2233,100.0,70.89,67.0,2.94029850746,130,11.9692307692
2234,77.0,91.4545454545,56.0,3.5,86,21.4534883721
2411,84.0,25.1071428571,43.0,3.72093023256,122,9.69672131148
2412,39.0,37.5384615385,27.0,2.62962962963,95,5.33684210526
2413,59.0,22.9491525424,24.0,1.41666666667,102,7.78431372549
2422,19.0,26.4736842105,12.0,4.0,34,6.94117647059
2423,32.0,16.40625,12.0,1.25,20,3.5
2424,69.0,27.1739130435,18.0,3.05555555556,33,11.303030303
2431,29.0,17.4137931034,5.0,1.6,34,19.4705882353
2432,94.0,22.7553191489,19.0,2.26315789474,63,6.38095238095
2433,46.0,43.1304347826,9.0,2.55555555556,62,5.20967741935
2511,75.0,39.96,54.0,2.62962962963,112,7.0
2512,73.0,53.1095890411,68.0,2.76470588235,130,18.6923076923
2513,82.0,38.2926829268,67.0,3.13432835821,100,19.05
2514,129.0,70.023255814,50.0,2.54,70,8.27142857143
2515,55.0,71.1090909091,38.0,2.81578947368,96,7.38541666667
2521,108.0,48.462962963,68.0,3.23529411765,81,10.8518518519
2522,62.0,77.8225806452,21.0,2.33333333333,44,11.3863636364
2523,53.0,49.6981132075,40.0,3.35,76,9.15789473684
2524,42.0,77.7380952381,30.0,2.86666666667,46,6.23913043478
2525,42.0,112.047619048,12.0,3.0,25,11.52
